geneName	family
ONI26047	2
ONI28912	2
ONI31794	2
ONI34117	2
ONI25675	2
ONI14939	2
ONI18348	2
ONI09651	2
ONI13437	2
ONI13971	2
ONI05452	2
ONH99027	2
ONH99789	2
ONI01956	2
ONI01957	2
ONH94171	2
ONH97427	2
ONH97909	2
ONH98354	2
ONH91197	2
ONH92766	2
ONI28078	2
ONI30454	2
ONI24811	2
ONI24937	2
ONI16226	2
ONI10996	2
ONI13973	2
ONI07639	2
ONI01254	2
ONH95094	2
ONH95095	2
ONH95096	2
ONH95097	2
ONH95098	2
ONH95099	2
ONH96630	2
ONH97606	2
ONH97607	2
ONH97609	2
ONI32694	2
ONI24347	2
ONI09929	2
ONI00230	2
ONI24529	2
ONH98353	2
ONI26050	4
ONI26448	4
ONI28244	4
ONI31401	4
ONI32650	4
ONI33034	4
ONI34267	4
ONI36106	4
ONI36107	4
ONI22045	4
ONI23573	4
ONI24136	4
ONI24137	4
ONI24138	4
ONI00397	4
ONH98224	4
ONH90246	4
ONH91150	4
ONI22044	4
ONI22046	4
ONI36108	4
ONI26052	5
ONI26284	5
ONI26298	5
ONI26339	5
ONI26475	5
ONI26704	5
ONI26865	5
ONI27311	5
ONI27803	5
ONI28590	5
ONI28893	5
ONI29058	5
ONI29539	5
ONI29838	5
ONI30726	5
ONI30780	5
ONI30925	5
ONI30926	5
ONI31163	5
ONI32305	5
ONI32985	5
ONI33045	5
ONI33936	5
ONI34149	5
ONI34537	5
ONI34983	5
ONI35496	5
ONI35714	5
ONI35771	5
ONI36475	5
ONI20969	5
ONI21894	5
ONI22031	5
ONI22333	5
ONI25199	5
ONI25205	5
ONI25472	5
ONI15420	5
ONI15548	5
ONI16293	5
ONI16646	5
ONI16677	5
ONI16681	5
ONI17055	5
ONI17553	5
ONI17956	5
ONI18178	5
ONI18543	5
ONI18570	5
ONI18700	5
ONI19087	5
ONI19129	5
ONI19141	5
ONI19211	5
ONI19226	5
ONI19643	5
ONI19701	5
ONI20050	5
ONI09895	5
ONI10870	5
ONI10925	5
ONI11044	5
ONI11801	5
ONI11923	5
ONI12073	5
ONI14197	5
ONI05847	5
ONI06206	5
ONI08189	5
ONI08222	5
ONI08614	5
ONI08659	5
ONI08673	5
ONI08729	5
ONI09497	5
ONI09527	5
ONH99244	5
ONH99940	5
ONI00156	5
ONI00160	5
ONI01448	5
ONI01921	5
ONI02346	5
ONI02527	5
ONI02688	5
ONI02697	5
ONI03115	5
ONI03860	5
ONI04225	5
ONI04516	5
ONI04559	5
ONI04921	5
ONI05188	5
ONI05194	5
ONH94185	5
ONH94307	5
ONH94969	5
ONH95022	5
ONH95333	5
ONH95363	5
ONH95429	5
ONH96035	5
ONH96049	5
ONH96168	5
ONH96536	5
ONH96601	5
ONH96625	5
ONH96689	5
ONH96897	5
ONH98272	5
ONH98763	5
ONH89632	5
ONH89725	5
ONH89808	5
ONH90372	5
ONH91625	5
ONH91831	5
ONH92343	5
ONH92353	5
ONH92510	5
ONH92574	5
ONH92996	5
ONH93331	5
ONI26822	5
ONI26830	5
ONI27715	5
ONI28332	5
ONI29728	5
ONI29870	5
ONI30661	5
ONI30692	5
ONI30821	5
ONI31732	5
ONI33743	5
ONI34379	5
ONI34876	5
ONI36360	5
ONI20524	5
ONI21063	5
ONI21568	5
ONI22888	5
