geneName	family
ONI26030	4442
ONI27087	4442
ONI23555	2
ONI23845	2
ONI15070	4442
ONI00866	2
ONI00867	2
ONH96042	2
ONH90893	5
ONI26033	4457
ONI26717	4457
ONI27918	5552
ONI27995	28
ONI29043	74
ONI30358	5552
ONI32998	5552
ONI33143	12
ONI33283	74
ONI33639	4456
ONI34250	5552
ONI35127	4457
ONI24420	12
ONI24645	5552
ONI25539	5552
ONI25625	12
ONI14749	5552
ONI15477	12
ONI11253	4457
ONI12649	4457
ONI07406	12
ONI09258	5552
ONH99868	5552
ONI00120	12
ONI04343	4456
ONI04362	74
ONH97182	28
ONH97327	5552
ONH97670	12
ONH97951	12
ONH98590	5552
ONH89745	5552
ONH90539	4457
ONH92412	4457
ONH92547	5552
ONI26034	87
ONI26352	87
ONI30647	4460
ONI33535	87
ONI34152	87
ONI35069	4460
ONI21653	5561
ONI24716	4460
ONI25086	5772
ONI17127	87
ONI10721	5558
ONI10823	87
ONI11017	16
ONI08306	4460
ONI01812	5558
ONI04026	71
ONI04027	71
ONI04087	4535
ONH97011	4460
ONH97899	87
ONH97932	4460
ONH98091	87
ONH91431	87
ONH91701	87
ONH91702	87
ONH91703	87
ONI26047	176
ONI28078	177
ONI28912	175
ONI30454	175
ONI31794	175
ONI34117	176
ONI24811	177
ONI24937	177
ONI25675	175
ONI14939	175
ONI16226	179
ONI18348	175
ONI09651	176
ONI10996	175
ONI13437	175
ONI13971	177
ONI13973	177
ONI05452	175
ONI07639	175
ONH99027	175
ONH99789	176
ONI01254	178
ONI01956	176
ONI01957	176
ONH94171	176
ONH95094	177
ONH95095	177
ONH95096	177
ONH95097	177
ONH95098	177
ONH95099	177
ONH96630	177
ONH97427	176
ONH97607	177
ONH97609	177
ONH97909	175
ONH98354	179
ONH91197	175
ONH92766	175
ONI26048	5569
ONI26049	5569
ONI26345	5568
ONI27383	4447
ONI27818	5797
ONI30503	5777
ONI30504	5777
ONI30555	5789
ONI30737	5593
ONI30882	4471
ONI32292	5779
ONI32847	32
ONI33114	5569
ONI34224	4450
ONI22745	5605
ONI23069	4471
ONI14845	5544
ONI16287	4447
ONI16722	5779
ONI17621	4471
ONI17690	5797
ONI18914	4475
ONI19529	5568
ONI19709	5569
ONI09837	5569
ONI10107	5544
ONI10114	5544
ONI10118	4450
ONI10127	4450
ONI10164	5542
ONI10456	5779
ONI10828	4471
ONI13683	5542
ONI05648	5593
ONI08224	5569
ONI08383	5568
ONI08396	5568
ONI08563	4460
ONI00221	5593
ONI00413	5584
ONI02903	5584
ONI02907	5584
ONI03927	5569
ONI04028	5584
ONI04157	5797
ONH94857	5568
ONH96761	5569
ONH97207	5779
ONH98840	4471
ONH89534	5777
ONH89934	5779
ONH92368	5779
ONH93537	5568
ONI27105	5542
ONI33658	5557
ONI18538	5544
ONI12946	4448
ONI05510	5789
ONI00012	5584
ONI03030	5593
ONI26050	183
ONI26448	183
ONI28244	183
ONI31401	183
ONI32650	183
ONI33034	183
ONI34267	183
ONI36106	183
ONI36107	183
ONI36108	183
ONI22045	182
ONI23573	183
ONI24136	182
ONI24137	182
ONI24138	182
ONI25164	183
ONI00397	182
ONH98224	183
ONH90246	183
ONH91150	183
ONI26051	4570
ONI31629	5630
ONI32606	185
ONI35029	5630
ONI21713	4571
ONI24725	4571
ONI25302	4570
ONI25786	4570
ONI16741	4570
ONI10665	4570
ONI05404	4570
ONI02138	5630
ONH97144	5630
ONH89825	185
ONH92256	5630
ONI26052	5634
ONI26284	190
ONI26298	5633
ONI26339	5633
ONI26475	188
ONI26704	190
ONI26865	5634
ONI27137	190
ONI27311	188
ONI27715	190
ONI27803	5633
ONI28590	188
ONI28893	190
ONI29058	190
ONI29539	188
ONI29838	190
ONI29870	190
ONI30661	5633
ONI30726	188
ONI30925	5634
ONI30926	190
ONI31163	190
ONI31732	5633
ONI32305	5633
ONI32985	190
ONI33045	190
ONI33936	190
ONI33937	188
ONI34149	5633
ONI34379	5633
ONI34537	188
ONI34983	190
ONI35496	5634
ONI35714	5634
ONI35771	190
ONI36475	5633
ONI20524	5633
ONI20969	190
ONI21063	5633
ONI21894	188
ONI22031	5634
ONI22333	4580
ONI22888	190
ONI23179	190
ONI23381	5633
ONI23741	5633
ONI24232	5634
ONI24744	190
ONI25199	188
ONI25205	188
ONI25428	190
ONI25472	5633
ONI14841	188
ONI15420	188
ONI15548	188
ONI16070	190
ONI16160	192
ONI16293	188
ONI16646	190
ONI16677	5633
ONI16681	5633
ONI16883	5634
ONI17055	190
ONI17179	190
ONI17553	5633
ONI17874	5634
ONI17956	188
ONI18127	190
ONI18178	5633
ONI18543	5633
ONI18570	5633
ONI18700	190
ONI18885	190
ONI19087	5634
ONI19129	5634
ONI19141	188
ONI19211	188
ONI19226	190
ONI19233	190
ONI19643	188
ONI19701	5634
ONI20050	5633
ONI20060	190
ONI09643	5633
ONI09895	5634
ONI10428	5633
ONI10516	5634
ONI10744	5634
ONI10870	190
ONI10925	190
ONI11044	5634
ONI11096	5633
ONI11309	190
ONI11801	4578
ONI11923	190
ONI11936	190
ONI12073	5633
ONI13820	188
ONI14197	5634
ONI05847	5633
ONI06206	188
ONI06433	5633
ONI08189	188
ONI08222	5633
ONI08378	190
ONI08614	188
ONI08659	5634
ONI08665	190
ONI08673	5633
ONI08706	190
ONI08729	188
ONI08999	190
ONI09315	5633
ONI09497	5634
ONI09527	190
ONH99091	4578
ONH99244	188
ONH99357	5633
ONH99940	5633
ONI00156	190
ONI00160	188
ONI01193	190
ONI01448	188
ONI01516	188
ONI01921	188
ONI02010	190
ONI02240	5634
ONI02303	5634
ONI02346	188
ONI02527	190
ONI02688	5633
ONI02697	190
ONI02885	5633
ONI03115	190
ONI03860	5633
ONI04225	190
ONI04226	5633
ONI04516	190
ONI04559	188
ONI04850	188
ONI04921	5633
ONI05188	190
ONI05194	5633
ONH94181	190
ONH94185	5634
ONH94307	188
ONH94969	188
ONH95022	5634
ONH95333	5633
ONH95363	190
ONH95429	5633
ONH96035	5633
ONH96049	5633
ONH96168	190
ONH96390	5634
ONH96536	5634
ONH96601	5633
ONH96625	190
ONH96689	188
ONH96897	190
ONH97666	188
ONH97837	190
ONH97838	190
ONH97999	5633
ONH98211	188
ONH98216	5633
ONH98272	5633
ONH98305	190
ONH98763	5633
ONH89632	190
ONH89643	5633
ONH89725	190
ONH89808	188
ONH89809	188
ONH89832	190
ONH90372	188
ONH91625	5634
ONH91831	188
ONH92343	5634
ONH92353	188
ONH92510	5634
ONH92574	5633
ONH92996	5633
ONH93331	188
ONH93475	5634
ONI26053	4587
ONI26657	203
ONI33554	204
ONI33833	211
ONI35616	204
ONI25216	4592
ONI16395	4586
ONI18564	204
ONI06935	4592
ONI06939	207
ONI06942	207
ONH99005	214
ONH96245	4592
ONH96249	207
ONH97520	4587
ONH98000	211
ONH93307	4585
ONI26056	217
ONI15888	217
ONI01153	217
ONH98593	218
ONI26057	219
ONI26058	219
ONI20177	219
ONI16674	220
ONI09759	220
ONI26068	4613
ONI15121	4613
ONI26069	293
ONI33501	4621
ONI33602	4672
ONI22749	303
ONI24598	5655
ONI17644	5655
ONI18968	5655
ONI11351	293
ONI11352	293
ONI11353	293
ONI11354	293
ONI13224	293
ONI13225	293
ONI05564	4672
ONH99653	293
ONH99654	293
ONI00175	4672
ONI01079	293
ONH96808	5655
ONH89950	4672
ONH91596	4672
ONI26071	313
ONI15112	313
ONI26075	315
ONI32995	315
ONI34084	315
ONI05293	315
ONI02065	4683
ONH90321	315
ONH91898	315
ONI26080	317
ONI09936	317
ONI04986	317
ONI26083	318
ONI26085	318
ONI22339	319
ONI13883	318
ONI13890	318
ONI13892	318
ONH92164	319
ONH89479	318
ONH89480	318
ONI26093	320
ONI18100	321
ONI09685	321
ONH92990	320
ONI26095	323
ONI28314	323
ONI34446	323
ONI21500	323
ONI11490	323
ONI01344	323
ONH92963	323
ONI26096	325
ONI34367	325
ONI20358	325
ONI20418	325
ONI25919	325
ONI10748	325
ONI05299	325
ONI05874	325
ONI05877	325
ONI01821	325
ONH98762	325
ONH90095	325
ONH92586	325
ONH93170	325
ONI26098	327
ONI26099	327
ONI26101	327
ONI04380	4690
ONI05104	4690
ONI26100	329
ONI22341	329
ONI11465	4686
ONI11513	4686
ONH90012	326
ONH90015	326
ONI26102	330
ONI05352	330
ONH99007	4691
ONI26106	4692
ONI26349	4692
ONI26112	334
ONI36357	334
ONI26114	336
ONI27919	335
ONH93430	336
ONI26115	337
ONI16054	337
ONI26121	338
ONI26128	338
ONI34212	339
ONI34246	339
ONI10470	338
ONH92927	338
ONI26122	340
ONI03784	340
ONI26123	341
ONI26130	341
ONI26131	341
ONI26132	341
ONI35078	343
ONI20847	341
ONI20858	341
ONI20910	341
ONI20911	341
ONI20912	341
ONI20921	341
ONI20923	341
ONI21067	342
ONI21346	342
ONI08057	342
ONH97984	343
ONH93825	341
ONI12803	4693
ONH98203	339
ONI26133	346
ONH92923	346
ONI26138	347
ONH92919	347
ONI26139	348
ONI31061	348
ONI23546	348
ONI25713	348
ONH97942	348
ONH92912	348
ONI26141	349
ONI35789	349
ONI26145	350
ONI28618	350
ONI35237	350
ONI23617	350
ONI06001	350
ONI02380	350
ONI04603	350
ONI26147	352
ONI12318	351
ONH92911	352
ONI26148	4694
ONI28008	4694
ONI28109	354
ONI28111	354
ONI28112	354
ONI28219	354
ONI28220	354
ONI28224	354
ONI29061	354
ONI32627	4694
ONI32631	4694
ONI32632	4694
ONI35314	354
ONI35315	354
ONI35470	4695
ONI35473	4695
ONI21291	354
ONI21983	354
ONI21987	354
ONI21993	354
ONI22631	354
ONI22633	354
ONI23830	354
ONI24899	4694
ONI24902	4695
ONI25066	354
ONI25067	354
ONI17226	4695
ONI17264	4695
ONI17887	4694
ONI19198	4694
ONI10055	354
ONI13702	4694
ONI06606	4694
ONI01207	4695
ONI01208	4695
ONI01209	4695
ONI01210	4695
ONI02692	4694
ONI02693	4694
ONI02695	4694
ONI04260	4694
ONI04385	354
ONI04864	354
ONH94333	4695
ONH96367	4694
ONH97438	354
ONH97439	354
ONH97440	354
ONH97442	354
ONH97487	354
ONH97497	4695
ONH97921	4694
ONH93969	354
ONH93970	354
ONH93971	354
ONH89485	4695
ONH89487	4695
ONI26153	356
ONI30833	4698
ONI18013	356
ONI09630	356
ONI03732	356
ONH94161	4698
ONI26156	367
ONI26420	4702
ONH99511	367
ONI29900	5789
ONI31226	5774
ONI36133	4449
ONI16685	5789
ONI18584	4448
ONI18869	5774
ONI10175	5542
ONI10372	5542
ONI12094	5542
ONI12403	5546
ONI12494	5542
ONI12614	5769
ONI13203	5789
ONI01786	5546
ONI01793	4446
ONI02207	4450
ONI02297	5774
ONI02586	5769
ONI02589	5540
ONI03796	5540
ONH91481	5540
ONI26159	369
ONI27527	369
ONI27528	369
ONI27529	369
ONI27530	369
ONI27532	369
ONI27534	369
ONI27535	369
ONI27537	370
ONI27538	370
ONI27542	370
ONI27544	370
ONI27546	370
ONI27611	369
ONI27612	369
ONI30832	368
ONI25202	368
ONI15552	368
ONI17579	368
ONI06920	368
ONI26160	374
ONI26163	374
ONI26164	374
ONI28769	379
ONI21702	379
ONI21707	379
ONH93519	374
ONH93520	374
ONH93521	374
ONI28767	374
ONI35614	5665
ONI20790	379
ONI21680	379
ONI21682	379
ONI21685	379
ONI21698	379
ONI21701	379
ONI21706	379
ONI21708	379
ONI18737	379
ONI18746	379
ONI18753	379
ONI18755	379
ONI18764	379
ONI09858	4712
ONI09859	4712
ONI01296	5665
ONI01302	5665
ONI01308	5665
ONH95754	4712
ONH97596	379
ONH97597	379
ONH90008	4712
ONI26165	4715
ONI18754	379
ONI18758	379
ONI09860	4715
ONH89872	4715
ONH90010	4715
ONI26167	388
ONH92901	388
ONI26170	389
ONI32283	389
ONH99535	389
ONI26174	391
ONI21008	391
ONI21040	391
ONI26181	4718
ONI33547	4717
ONI33877	4717
ONI23343	4718
ONI24297	394
ONI25490	4718
ONI16771	4718
ONI12204	4718
ONI12476	4718
ONI07339	4718
ONH99028	4718
ONH99513	4718
ONH99618	4718
ONI00294	394
ONI02663	4717
ONI02961	4717
ONI03998	4718
ONH92243	4718
ONI26187	208
ONI07403	208
ONI26189	398
ONI30584	4722
ONI32400	4722
ONI33472	398
ONI17482	398
ONI19255	398
ONI14008	398
ONI08448	4722
ONI08677	398
ONH95052	398
ONH97069	4722
ONH90512	4722
ONI09749	4723
ONI10932	400
ONI11107	4723
ONI12246	4723
ONI26196	402
ONI26989	402
ONI32544	403
ONI13244	402
ONH96204	402
ONH96206	402
ONH98474	403
ONH91017	403
ONH91024	403
ONH91025	403
ONH91026	403
ONH91027	403
ONH92875	402
ONI26200	405
ONI25889	405
ONI10770	405
ONH92167	404
ONH92813	404
ONH92871	405
ONI26202	406
ONI26214	406
ONI26203	408
ONI26204	408
ONI28773	407
ONI32553	407
ONI34652	407
ONI15572	407
ONI19789	407
ONI10286	407
ONI14387	407
ONI00640	407
ONH97521	407
ONH97784	407
ONH91032	407
ONH92238	408
ONI26205	417
ONI27246	417
ONI28732	417
ONI29692	417
ONI30804	417
ONI24667	417
ONI24694	4724
ONI24697	4724
ONI25094	4724
ONI25236	4724
ONI15913	417
ONI08272	417
ONI08274	417
ONI08278	417
ONI02209	414
ONI02214	414
ONI02218	414
ONH97218	413
ONH90366	417
ONH92390	413
ONI26207	4727
ONI26221	5667
ONI26245	4727
ONI26250	4727
ONI28719	5667
ONI28720	5666
ONI28721	4727
ONI28722	4727
ONI28723	5666
ONI28724	4727
ONI28726	5666
ONI28727	5666
ONI28728	4727
ONI28730	5666
ONI23856	5666
ONH99839	4727
ONI26210	4728
ONI18349	4728
ONI13433	4728
ONI13435	4728
ONI13436	4728
ONI14348	4728
ONI05114	4728
ONH92870	4728
ONI22605	423
ONI26218	426
ONI34077	426
ONI23986	426
ONI19736	425
ONI08215	425
ONI09289	426
ONI00563	426
ONI00570	426
ONI26219	428
ONH92859	428
ONI26222	4508
ONI26225	4508
ONI28759	4508
ONI28825	4508
ONI28829	4508
ONI28831	4508
ONI28836	4508
ONI30182	4508
ONI35241	4509
ONI35306	4509
ONI35308	4509
ONI35527	5616
ONI35600	5617
ONI35602	5617
ONI35606	5617
ONI20352	5616
ONI20360	5616
ONI20361	5616
ONI20407	5616
ONI20411	5616
ONI20414	5616
ONI20415	5616
ONI20561	5618
ONI20589	5618
ONI20591	5618
ONI20657	5618
ONI20805	5619
ONI20864	4510
ONI20914	4510
ONI20916	4510
ONI20964	4510
ONI20966	4510
ONI21026	4510
ONI21029	4510
ONI21030	4510
ONI21034	4510
ONI21036	4510
ONI21160	4510
ONI21193	4510
ONI21225	4510
ONI21226	4510
ONI21232	4510
ONI21236	4510
ONI21238	4510
ONI21463	4508
ONI21464	5618
ONI22168	4508
ONI22169	4508
ONI16211	4509
ONI16231	4509
ONI16260	4509
ONI16278	4509
ONI16281	4509
ONI16283	4509
ONI16328	4509
ONI16467	4509
ONI14508	5617
ONI14512	5617
ONI14519	5617
ONI14522	5617
ONI14526	5617
ONI14538	4510
ONI07280	5616
ONI09270	5616
ONI01248	5619
ONI01250	5619
ONI03177	4508
ONI03179	4508
ONI03180	4508
ONI03181	4508
ONI03182	4508
ONH95302	4512
ONH95305	4512
ONH95306	4512
ONH95309	39
ONH95310	4512
ONH89688	4484
ONH89721	5616
ONH90847	5616
ONH90848	5616
ONH90851	5616
ONH90852	5616
ONH91485	5618
ONH89676	4484
ONI26226	429
ONI30181	429
ONI26227	430
ONH93579	430
ONI26229	431
ONI04501	431
ONI26233	433
ONI30125	432
ONI20266	432
ONI20268	432
ONI20271	432
ONI15360	432
ONI10441	432
ONH99221	432
ONI04492	433
ONI04493	433
ONI04495	433
ONI04496	433
ONI04499	433
ONH92679	432
ONI26235	4729
ONI14656	4729
ONI00178	4729
ONI00179	4729
ONI03449	4729
ONI26236	435
ONI30520	436
ONI33107	435
ONI25631	436
ONI08404	436
ONH97634	435
ONI26237	437
ONI33838	437
ONI00763	438
ONI00770	438
ONI26238	440
ONI26239	440
ONI26240	440
ONI30311	439
ONI06748	440
ONI08244	439
ONI26242	441
ONI27296	442
ONI24313	441
ONI24322	441
ONI24323	441
ONI24324	441
ONI16064	442
ONI16500	442
ONI16501	442
ONI07526	442
ONI00277	441
ONI00278	441
ONI03352	441
ONI04443	442
ONH96082	441
ONH96083	443
ONH96084	441
ONH96093	441
ONH96100	443
ONH96101	441
ONH96103	441
ONH96104	443
ONH96105	443
ONH96106	441
ONH96107	443
ONH96109	441
ONH96110	441
ONH96309	443
ONH98759	442
ONH90800	442
ONI26244	447
ONH89714	447
ONI26248	4727
ONI32687	4730
ONH96824	4730
ONI26253	453
ONI33450	453
ONI03808	453
ONH98839	453
ONI26255	455
ONI15521	455
ONH97724	455
ONI26256	58
ONI23521	58
ONI07556	58
ONI08213	58
ONH99672	58
ONI04783	58
ONI26263	457
ONI34904	456
ONI34905	456
ONH93564	457
ONI26265	4732
ONI13593	4732
ONH98105	4732
ONI26268	459
ONI30003	459
ONI36179	459
ONI06084	459
ONI01252	459
ONI26269	4733
ONI27737	4733
ONI23155	4733
ONI04762	4733
ONI04765	4733
ONH94469	4733
ONH90488	4734
ONI26277	465
ONI30960	464
ONI30961	464
ONI35248	464
ONI36414	464
ONI20262	463
ONI23605	463
ONI23607	463
ONI23608	463
ONI23609	463
ONI23610	463
ONI23611	463
ONI16621	465
ONI16623	465
ONI10044	462
ONI12453	465
ONI12838	462
ONI13013	464
ONI08013	464
ONI09304	464
ONH99224	465
ONH99225	465
ONH99227	463
ONH99229	463
ONH99230	465
ONH99231	465
ONH99233	465
ONH99235	465
ONH99238	465
ONH99242	465
ONI00425	465
ONI01348	465
ONI01377	463
ONI01380	463
ONI01381	463
ONI01382	463
ONI01384	463
ONI01538	465
ONI01743	464
ONI01747	462
ONI01748	464
ONI05292	464
ONH95607	465
ONH95615	463
ONH95664	463
ONH95665	463
ONH96066	462
ONH96075	465
ONH96077	463
ONH96078	465
ONH92259	465
ONH89477	463
ONI26278	4735
ONI26279	390
ONI28974	390
ONI16289	390
ONI26280	478
ONI04751	478
ONH93562	478
ONI26282	480
ONI20602	479
ONH98282	480
ONH98304	480
ONI26822	190
ONI26830	188
ONI28332	4578
ONI29728	190
ONI30692	5633
ONI30821	5633
ONI33743	5633
ONI34876	190
ONI36360	5633
ONI21568	190
ONI25512	188
ONI16348	5633
ONI17510	190
ONI19196	5633
ONI19243	5633
ONI09767	5633
ONI11114	5633
ONI13778	188
ONI07181	190
ONI08687	5633
ONH99718	5633
ONI00568	4576
ONI03223	5633
ONI04100	5633
ONI04257	5633
ONI04721	4576
ONH96339	190
ONH96891	190
ONH96945	188
ONH97827	5632
ONH90298	5633
ONH91074	5633
ONH91245	188
ONH92665	5633
ONH93939	5633
ONI04750	4736
ONI26461	188
ONI27415	188
ONI30939	188
ONI31430	188
ONI32938	188
ONI22432	188
ONI25153	188
ONI17677	188
ONI06782	188
ONI07780	188
ONH98932	188
ONH99517	188
ONH98218	188
ONH89530	188
ONH92203	188
ONI26300	483
ONI32937	483
ONI33049	483
ONI33802	484
ONI33803	484
ONI15357	483
ONI15775	484
ONH97556	483
ONI32957	485
ONI16520	485
ONI26303	490
ONI34148	489
ONH93558	490
ONI18787	333
ONI26308	491
ONI26309	491
ONI26310	491
ONI26311	491
ONI04742	491
ONI26313	494
ONI26314	498
ONI35049	494
ONI35864	494
ONI20189	4740
ONI23404	4746
ONI24486	4738
ONI17236	492
ONI17850	496
ONI20099	494
ONI09134	4740
ONI03933	496
ONI03939	496
ONH93551	498
ONH93552	494
ONH93553	494
ONI26316	494
ONH99081	4740
ONI26317	499
ONI27142	499
ONI27143	499
ONI27144	499
ONI11544	5670
ONI26325	501
ONI26326	501
ONI26327	502
ONI26331	502
ONH93547	502
ONI26329	4526
ONI28807	4526
ONI29610	4526
ONI25543	57
ONI25641	4526
ONI25642	4526
ONI25643	4526
ONI11214	4526
ONI11217	4526
ONI11505	4526
ONI14121	4526
ONI08179	4526
ONI01492	4526
ONI01496	4526
ONH95471	4526
ONI26332	503
ONH93545	503
ONI26333	4748
ONI21289	4748
ONI19375	4748
ONI06154	4748
ONI02179	4748
ONI03294	4748
ONH93541	4748
ONI26334	508
ONI19266	508
ONI31628	227
ONI16172	224
ONI17539	228
ONI12628	229
ONI03963	5645
ONI26336	509
ONI24348	509
ONI21012	5627
ONI06688	5627
ONH91380	5627
ONI26338	4540
ONI28771	4537
ONI28794	5627
ONI28795	4537
ONI28796	4540
ONI28799	5627
ONI28800	4537
ONI28803	5627
ONI28868	4537
ONI35229	4537
ONI35230	4537
ONI35500	4540
ONI35710	5627
ONI35852	4540
ONI35853	4540
ONI20483	4541
ONI21247	4537
ONI21253	34
ONI21254	4541
ONI21255	4541
ONI21259	4541
ONI21279	4541
ONI21287	4541
ONI21319	4537
ONI21324	4537
ONI21326	5626
ONI21340	4537
ONI21454	4541
ONI21469	4541
ONI21479	4540
ONI21711	73
ONI22192	4540
ONI22315	5623
ONI22392	5623
ONI22394	5623
ONI22395	5623
ONI22397	5623
ONI22398	5623
ONI22401	5623
ONI22402	5623
ONI22541	5626
ONI22543	4538
ONI14802	5624
ONI14806	5624
ONI16930	5624
ONI13475	4537
ONI13511	4540
ONI05685	5627
ONI06687	5627
ONI00335	5623
ONI00338	5623
ONI00896	4545
ONI00899	4545
ONI01671	4537
ONI01806	4537
ONH94345	5626
ONH94680	4537
ONH94879	4537
ONH94890	4537
ONH95340	4537
ONH95343	4540
ONH89625	4537
ONH89626	4537
ONH89627	4537
ONH89629	4537
ONH89631	4537
ONH89882	4537
ONH89902	4537
ONH89905	4537
ONH89907	4537
ONH89910	4537
ONH89914	5627
ONH89916	4537
ONH89918	4537
ONH89958	4537
ONH89963	4537
ONH89967	4540
ONH89971	4537
ONH89975	4537
ONH90040	4537
ONH90060	4537
ONH90089	4537
ONH90093	4537
ONH90215	4537
ONH90277	4537
ONH90280	4537
ONH90325	4537
ONH90433	4537
ONH90484	4537
ONH91273	5627
ONH91350	5627
ONH91355	5627
ONH91357	5627
ONH91360	5627
ONH91377	5627
ONH91384	5627
ONH91395	5627
ONH91401	5627
ONH91479	4544
ONH91483	4544
ONH91495	73
ONH91513	4540
ONH91516	5629
ONH91519	4540
ONH92407	5629
ONH92448	73
ONH92521	73
ONH92529	73
ONH92626	5623
ONH92629	5623
ONH92630	5623
ONH93544	73
ONH89512	73
ONH89515	4540
ONH89518	4540
ONI25286	188
ONI12212	188
ONI07786	188
ONH98314	188
ONI26344	510
ONI31403	510
ONH93538	510
ONI27385	4447
ONI27387	4447
ONI33567	5797
ONI34548	5794
ONI23212	5797
ONI15691	4475
ONH96479	5797
ONH91191	5797
ONI26347	511
ONI04813	511
ONI26350	512
ONH93535	512
ONI26351	513
ONI04814	513
ONI30940	16
ONI17606	4461
ONH95463	4461
ONH90553	5558
ONI26354	515
ONI29208	514
